"Row"	"Column"	"Gene"
10	38	"C1C1 rho c1e1 pr29"
10	39	"C1C1 rho c1e1 pr29"
10	40	"C1C1 rho c1e1 pr29"
10	41	"C1C1 rho c1e1 pr30"
10	42	"C1C1 rho c1e1 pr30"
10	43	"C1C1 rho c1e1 pr30"
10	44	"C1C1 rho c1e1 pr30"
10	45	"C1C1 rho c1e1 pr30"
10	46	"C1C1 rho c1e1 pr30"
10	47	"C1C1 rho c1e1 pr30"
10	48	"C1C1 rho c1e1 pr30"
11	1	"C1C1 rho c1e1 pr25"
11	2	"C1C1 rho c1e1 pr25"
11	3	"C1C1 rho c1e1 pr25"
11	4	"C1C1 rho c1e1 pr25"
11	5	"C1C1 rho c1e1 pr25"
11	6	"C1C1 rho c1e1 pr25"
11	7	"C1C1 rho c1e1 pr25"
11	8	"C1C1 rho c1e1 pr25"
11	9	"C1C1 rho c1e1 pr26"
11	10	"C1C1 rho c1e1 pr26"
11	11	"C1C1 rho c1e1 pr26"
11	12	"C1C1 rho c1e1 pr26"
11	13	"C1C1 rho c1e1 pr26"
11	14	"C1C1 rho c1e1 pr26"
11	15	"C1C1 rho c1e1 pr26"
11	16	"C1C1 rho c1e1 pr26"
11	17	"C1C1 rho c1e1 pr27"
11	18	"C1C1 rho c1e1 pr27"
11	19	"C1C1 rho c1e1 pr27"
11	20	"C1C1 rho c1e1 pr27"
11	21	"C1C1 rho c1e1 pr27"
11	22	"C1C1 rho c1e1 pr27"
11	23	"C1C1 rho c1e1 pr27"
11	24	"C1C1 rho c1e1 pr27"
11	25	"C1C1 rho c1e1 pr28"
11	26	"C1C1 rho c1e1 pr28"
11	27	"C1C1 rho c1e1 pr28"
11	28	"C1C1 rho c1e1 pr28"
11	29	"C1C1 rho c1e1 pr28"
11	30	"C1C1 rho c1e1 pr28"
11	31	"C1C1 rho c1e1 pr28"
11	32	"C1C1 rho c1e1 pr28"
11	33	"C1C1 rho c1e1 pr29"
11	34	"C1C1 rho c1e1 pr29"
11	35	"C1C1 rho c1e1 pr29"
11	36	"C1C1 rho c1e1 pr29"
11	37	"C1C1 rho c1e1 pr29"
11	38	"C1C1 rho c1e1 pr29"
11	39	"C1C1 rho c1e1 pr29"
11	40	"C1C1 rho c1e1 pr29"
11	41	"C1C1 rho c1e1 pr30"
11	42	"C1C1 rho c1e1 pr30"
11	43	"C1C1 rho c1e1 pr30"
